Round,Family Number,Family Type,Child Care,Housing,Food,Health Care,Health Insurance,Savings,Transportation,Other Expenses,Total Expenses,After-Tax Income,Balance
1,1,Two working adults with a 2- and 4-year-old,1646.5,772.5833333333334,759.5833333333334,91,0,600.9166666666666,1116.0833333333333,711.0833333333334,5697.75,5069.863333333334,-627.8866666666663
2,1,Two working adults with a 2- and 4-year-old,1646.5,772.5833333333334,759.5833333333334,91,0,600.9166666666666,1116.0833333333333,711.0833333333334,5697.75,5329.55,-368.1999999999998
3,1,Two working adults with a 2- and 4-year-old,1646.5,772.5833333333334,759.5833333333334,91,71.08333333333331,600.9166666666666,1116.0833333333333,711.0833333333334,5768.833333333333,5966.416666666667,197.58333333333394
1,2,Two working adults with a 2- and 4-year-old,396.5999999999999,772.5833333333334,206.9133333333334,91,0,600.9166666666666,1116.0833333333333,711.0833333333334,3895.18,3730.1241666666665,-165.05583333333334
2,2,Two working adults with a 2- and 4-year-old,483.20000000000005,772.5833333333334,510.36333333333334,91,0,600.9166666666666,1116.0833333333333,711.0833333333334,4285.23,4033.3633333333332,-251.86666666666633
3,2,Two working adults with a 2- and 4-year-old,1646.5,772.5833333333334,759.5833333333334,91,0,600.9166666666666,1116.0833333333333,711.0833333333334,5697.75,4421.770833333333,-1275.979166666667
1,3,One adult with a 2-and 4-year-old,327.29999999999995,585.9833333333333,-33.4733333333333,53,0,550.4166666666666,933.5833333333334,603.9166666666666,3020.7266666666665,3242.8033333333333,222.07666666666682
2,3,One adult with a 2-and 4-year-old,413.9000000000001,772.5833333333334,269.9766666666667,53,0,550.4166666666666,933.5833333333334,603.9166666666666,3597.376666666667,3518.2491666666665,-79.12750000000051
3,3,One adult with a 2-and 4-year-old,1646.5,772.5833333333334,506.4166666666667,53,218.16666666666669,550.4166666666666,933.5833333333334,603.9166666666666,5284.583333333333,3705.9333333333334,-1578.6499999999996
1,4,One adult,0,289.6333333333334,72.40666666666667,38,0,219.83333333333334,408,339.9166666666667,1367.79,1120.0791666666669,-247.71083333333308
2,4,One adult,0,458.53333333333336,207.52666666666667,38,0,219.83333333333334,408,339.9166666666667,1671.81,1547.8658333333333,-123.94416666666666
3,4,One adult,0,617.8333333333334,253.16666666666666,38,0,219.83333333333334,408,339.9166666666667,1876.75,2003.0916666666667,126.3416666666667
